"","VehModel","Area","pure_premium","interaction","exposure"
"552","Honda - Cg 150 Titan-esd/ Titan Special Edition","Rondonia",NA,"Honda - Cg 150 Titan-esd/ Titan Special Edition.Rondonia",NA
"553","Honda - Cg 150 Titan-esd/ Titan Special Edition","Roraima",NA,"Honda - Cg 150 Titan-esd/ Titan Special Edition.Roraima",NA
"554","Honda - Cg 150 Titan-esd/ Titan Special Edition","Sergipe",NA,"Honda - Cg 150 Titan-esd/ Titan Special Edition.Sergipe",NA
"555","Honda - Cg 150 Titan-esd/ Titan Special Edition","Sudeste de Goias",NA,"Honda - Cg 150 Titan-esd/ Titan Special Edition.Sudeste de Goias",NA
"556","Honda - Cg 150 Titan-esd/ Titan Special Edition","Sul",NA,"Honda - Cg 150 Titan-esd/ Titan Special Edition.Sul",NA
"557","Honda - Cg 150 Titan-esd/ Titan Special Edition","Tocantins",NA,"Honda - Cg 150 Titan-esd/ Titan Special Edition.Tocantins",NA
"558","Honda - Cg 150 Titan-esd/ Titan Special Edition","Triangulo mineiro",NA,"Honda - Cg 150 Titan-esd/ Titan Special Edition.Triangulo mineiro",NA
"559","Honda - Cg 150 Titan-esd/ Titan Special Edition","Vale do Aco-Norte-Vale Jequitinhonha",NA,"Honda - Cg 150 Titan-esd/ Titan Special Edition.Vale do Aco-Norte-Vale Jequitinhonha",NA
"560","Honda - Cg 150 Titan-esd/ Titan Special Edition","Vale do Paraiba e Ribeira",NA,"Honda - Cg 150 Titan-esd/ Titan Special Edition.Vale do Paraiba e Ribeira",NA
"561","Honda - Cg 150 Titan-ks/ Titan-job","Acre",NA,"Honda - Cg 150 Titan-ks/ Titan-job.Acre",NA
"562","Honda - Cg 150 Titan-ks/ Titan-job","Alagoas",NA,"Honda - Cg 150 Titan-ks/ Titan-job.Alagoas",NA
"563","Honda - Cg 150 Titan-ks/ Titan-job","Amapa",NA,"Honda - Cg 150 Titan-ks/ Titan-job.Amapa",NA
"564","Honda - Cg 150 Titan-ks/ Titan-job","Amazonas",NA,"Honda - Cg 150 Titan-ks/ Titan-job.Amazonas",NA
"565","Honda - Cg 150 Titan-ks/ Titan-job","Bahia",106.619272357966,"Honda - Cg 150 Titan-ks/ Titan-job.Bahia",167.39
"566","Honda - Cg 150 Titan-ks/ Titan-job","Blumenau e demais regioes",NA,"Honda - Cg 150 Titan-ks/ Titan-job.Blumenau e demais regioes",NA
"567","Honda - Cg 150 Titan-ks/ Titan-job","Brasilia",NA,"Honda - Cg 150 Titan-ks/ Titan-job.Brasilia",NA
"568","Honda - Cg 150 Titan-ks/ Titan-job","Ceara",NA,"Honda - Cg 150 Titan-ks/ Titan-job.Ceara",NA
"569","Honda - Cg 150 Titan-ks/ Titan-job","Demais regioes",297.443225706782,"Honda - Cg 150 Titan-ks/ Titan-job.Demais regioes",129.46
"570","Honda - Cg 150 Titan-ks/ Titan-job","Espirito Santo",NA,"Honda - Cg 150 Titan-ks/ Titan-job.Espirito Santo",NA
"571","Honda - Cg 150 Titan-ks/ Titan-job","F.Iguatu-Medianeira-Cascavel-Toledo",NA,"Honda - Cg 150 Titan-ks/ Titan-job.F.Iguatu-Medianeira-Cascavel-Toledo",NA
"572","Honda - Cg 150 Titan-ks/ Titan-job","Goias",NA,"Honda - Cg 150 Titan-ks/ Titan-job.Goias",NA
"573","Honda - Cg 150 Titan-ks/ Titan-job","Grande Campinas",182.912504116808,"Honda - Cg 150 Titan-ks/ Titan-job.Grande Campinas",182.18
"574","Honda - Cg 150 Titan-ks/ Titan-job","Interior",NA,"Honda - Cg 150 Titan-ks/ Titan-job.Interior",NA
"575","Honda - Cg 150 Titan-ks/ Titan-job","Litoral Norte e Baixada Santista",NA,"Honda - Cg 150 Titan-ks/ Titan-job.Litoral Norte e Baixada Santista",NA
"576","Honda - Cg 150 Titan-ks/ Titan-job","Maranhao",NA,"Honda - Cg 150 Titan-ks/ Titan-job.Maranhao",NA
"577","Honda - Cg 150 Titan-ks/ Titan-job","Mato Grosso",NA,"Honda - Cg 150 Titan-ks/ Titan-job.Mato Grosso",NA
"578","Honda - Cg 150 Titan-ks/ Titan-job","Mato Grosso do Sul",NA,"Honda - Cg 150 Titan-ks/ Titan-job.Mato Grosso do Sul",NA
"579","Honda - Cg 150 Titan-ks/ Titan-job","Met. Curitiba",NA,"Honda - Cg 150 Titan-ks/ Titan-job.Met. Curitiba",NA
"580","Honda - Cg 150 Titan-ks/ Titan-job","Met. Florianopolis e Sul",NA,"Honda - Cg 150 Titan-ks/ Titan-job.Met. Florianopolis e Sul",NA
"581","Honda - Cg 150 Titan-ks/ Titan-job","Met. Porto Alegre e Caxias do Sul",NA,"Honda - Cg 150 Titan-ks/ Titan-job.Met. Porto Alegre e Caxias do Sul",NA
"582","Honda - Cg 150 Titan-ks/ Titan-job","Met. de Sao Paulo",293.392600523466,"Honda - Cg 150 Titan-ks/ Titan-job.Met. de Sao Paulo",154.0427397261
"583","Honda - Cg 150 Titan-ks/ Titan-job","Met. do Rio de Janeiro",NA,"Honda - Cg 150 Titan-ks/ Titan-job.Met. do Rio de Janeiro",NA
"584","Honda - Cg 150 Titan-ks/ Titan-job","Met.BH-Centro Oeste-Zona Mata-C. Vertentes",68.438187045493,"Honda - Cg 150 Titan-ks/ Titan-job.Met.BH-Centro Oeste-Zona Mata-C. Vertentes",236.52
"585","Honda - Cg 150 Titan-ks/ Titan-job","Oeste",NA,"Honda - Cg 150 Titan-ks/ Titan-job.Oeste",NA
"586","Honda - Cg 150 Titan-ks/ Titan-job","Para",NA,"Honda - Cg 150 Titan-ks/ Titan-job.Para",NA
"587","Honda - Cg 150 Titan-ks/ Titan-job","Paraiba",NA,"Honda - Cg 150 Titan-ks/ Titan-job.Paraiba",NA
"588","Honda - Cg 150 Titan-ks/ Titan-job","Pernambuco",75.9814696853721,"Honda - Cg 150 Titan-ks/ Titan-job.Pernambuco",223.2254794522
"589","Honda - Cg 150 Titan-ks/ Titan-job","Piaui",NA,"Honda - Cg 150 Titan-ks/ Titan-job.Piaui",NA
"590","Honda - Cg 150 Titan-ks/ Titan-job","Ribeirao Preto e Demais Mun. de Campinas",45.4047355032288,"Honda - Cg 150 Titan-ks/ Titan-job.Ribeirao Preto e Demais Mun. de Campinas",306.62
"591","Honda - Cg 150 Titan-ks/ Titan-job","Rio Grande do Norte",NA,"Honda - Cg 150 Titan-ks/ Titan-job.Rio Grande do Norte",NA
"592","Honda - Cg 150 Titan-ks/ Titan-job","Rondonia",NA,"Honda - Cg 150 Titan-ks/ Titan-job.Rondonia",NA
"593","Honda - Cg 150 Titan-ks/ Titan-job","Roraima",NA,"Honda - Cg 150 Titan-ks/ Titan-job.Roraima",NA
"594","Honda - Cg 150 Titan-ks/ Titan-job","Sergipe",NA,"Honda - Cg 150 Titan-ks/ Titan-job.Sergipe",NA
"595","Honda - Cg 150 Titan-ks/ Titan-job","Sudeste de Goias",NA,"Honda - Cg 150 Titan-ks/ Titan-job.Sudeste de Goias",NA
"596","Honda - Cg 150 Titan-ks/ Titan-job","Sul",NA,"Honda - Cg 150 Titan-ks/ Titan-job.Sul",NA
"597","Honda - Cg 150 Titan-ks/ Titan-job","Tocantins",NA,"Honda - Cg 150 Titan-ks/ Titan-job.Tocantins",NA
"598","Honda - Cg 150 Titan-ks/ Titan-job","Triangulo mineiro",59.7473477647636,"Honda - Cg 150 Titan-ks/ Titan-job.Triangulo mineiro",163.07
"599","Honda - Cg 150 Titan-ks/ Titan-job","Vale do Aco-Norte-Vale Jequitinhonha",NA,"Honda - Cg 150 Titan-ks/ Titan-job.Vale do Aco-Norte-Vale Jequitinhonha",NA
"600","Honda - Cg 150 Titan-ks/ Titan-job","Vale do Paraiba e Ribeira",158.414147176269,"Honda - Cg 150 Titan-ks/ Titan-job.Vale do Paraiba e Ribeira",175.3
"601","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Acre",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Acre",NA
"602","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Alagoas",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Alagoas",NA
"603","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Amapa",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Amapa",NA
"604","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Amazonas",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Amazonas",NA
"605","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Bahia",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Bahia",NA
"606","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Blumenau e demais regioes",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Blumenau e demais regioes",NA
"607","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Brasilia",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Brasilia",NA
"608","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Ceara",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Ceara",NA
"609","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Demais regioes",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Demais regioes",NA
"610","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Espirito Santo",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Espirito Santo",NA
"611","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","F.Iguatu-Medianeira-Cascavel-Toledo",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).F.Iguatu-Medianeira-Cascavel-Toledo",NA
"612","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Goias",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Goias",NA
"613","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Grande Campinas",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Grande Campinas",NA
"614","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Interior",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Interior",NA
"615","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Litoral Norte e Baixada Santista",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Litoral Norte e Baixada Santista",NA
"616","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Maranhao",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Maranhao",NA
"617","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Mato Grosso",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Mato Grosso",NA
"618","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Mato Grosso do Sul",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Mato Grosso do Sul",NA
"619","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Met. Curitiba",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Met. Curitiba",NA
"620","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Met. Florianopolis e Sul",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Met. Florianopolis e Sul",NA
"621","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Met. Porto Alegre e Caxias do Sul",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Met. Porto Alegre e Caxias do Sul",NA
"622","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Met. de Sao Paulo",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Met. de Sao Paulo",NA
"623","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Met. do Rio de Janeiro",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Met. do Rio de Janeiro",NA
"624","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Met.BH-Centro Oeste-Zona Mata-C. Vertentes",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Met.BH-Centro Oeste-Zona Mata-C. Vertentes",NA
"625","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Oeste",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Oeste",NA
"626","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Para",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Para",NA
"627","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Paraiba",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Paraiba",NA
"628","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Pernambuco",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Pernambuco",NA
"629","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Piaui",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Piaui",NA
"630","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Ribeirao Preto e Demais Mun. de Campinas",780.460645284096,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Ribeirao Preto e Demais Mun. de Campinas",105.07
"631","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Rio Grande do Norte",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Rio Grande do Norte",NA
"632","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Rondonia",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Rondonia",NA
"633","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Roraima",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Roraima",NA
"634","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Sergipe",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Sergipe",NA
"635","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Sudeste de Goias",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Sudeste de Goias",NA
"636","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Sul",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Sul",NA
"637","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Tocantins",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Tocantins",NA
"638","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Triangulo mineiro",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Triangulo mineiro",NA
"639","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Vale do Aco-Norte-Vale Jequitinhonha",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Vale do Aco-Norte-Vale Jequitinhonha",NA
"640","Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f)","Vale do Paraiba e Ribeira",NA,"Honda - Civic Sed Lx 1.8 Aut 4p(s/acess.esp.d.f).Vale do Paraiba e Ribeira",NA
"641","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Acre",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Acre",NA
"642","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Alagoas",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Alagoas",NA
"643","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Amapa",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Amapa",NA
"644","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Amazonas",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Amazonas",NA
"645","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Bahia",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Bahia",NA
"646","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Blumenau e demais regioes",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Blumenau e demais regioes",NA
"647","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Brasilia",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Brasilia",NA
"648","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Ceara",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Ceara",NA
"649","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Demais regioes",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Demais regioes",NA
"650","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Espirito Santo",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Espirito Santo",NA
"651","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","F.Iguatu-Medianeira-Cascavel-Toledo",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).F.Iguatu-Medianeira-Cascavel-Toledo",NA
"652","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Goias",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Goias",NA
"653","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Grande Campinas",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Grande Campinas",NA
"654","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Interior",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Interior",NA
"655","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Litoral Norte e Baixada Santista",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Litoral Norte e Baixada Santista",NA
"656","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Maranhao",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Maranhao",NA
"657","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Mato Grosso",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Mato Grosso",NA
"658","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Mato Grosso do Sul",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Mato Grosso do Sul",NA
"659","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Met. Curitiba",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Met. Curitiba",NA
"660","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Met. Florianopolis e Sul",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Met. Florianopolis e Sul",NA
"661","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Met. Porto Alegre e Caxias do Sul",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Met. Porto Alegre e Caxias do Sul",NA
"662","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Met. de Sao Paulo",539.123700695257,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Met. de Sao Paulo",581.08
"663","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Met. do Rio de Janeiro",347.542735042735,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Met. do Rio de Janeiro",131.04
"664","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Met.BH-Centro Oeste-Zona Mata-C. Vertentes",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Met.BH-Centro Oeste-Zona Mata-C. Vertentes",NA
"665","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Oeste",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Oeste",NA
"666","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Para",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Para",NA
"667","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Paraiba",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Paraiba",NA
"668","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Pernambuco",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Pernambuco",NA
"669","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Piaui",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Piaui",NA
"670","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Ribeirao Preto e Demais Mun. de Campinas",298.411305164531,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Ribeirao Preto e Demais Mun. de Campinas",159.6554794522
"671","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Rio Grande do Norte",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Rio Grande do Norte",NA
"672","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Rondonia",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Rondonia",NA
"673","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Roraima",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Roraima",NA
"674","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Sergipe",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Sergipe",NA
"675","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Sudeste de Goias",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Sudeste de Goias",NA
"676","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Sul",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Sul",NA
"677","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Tocantins",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Tocantins",NA
"678","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Triangulo mineiro",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Triangulo mineiro",NA
"679","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Vale do Aco-Norte-Vale Jequitinhonha",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Vale do Aco-Norte-Vale Jequitinhonha",NA
"680","Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.)","Vale do Paraiba e Ribeira",NA,"Honda - Civic Sedan Ex 1.6 16v Aut. 4p (nacion.).Vale do Paraiba e Ribeira",NA
"681","Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.)","Acre",NA,"Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.).Acre",NA
"682","Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.)","Alagoas",NA,"Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.).Alagoas",NA
"683","Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.)","Amapa",NA,"Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.).Amapa",NA
"684","Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.)","Amazonas",NA,"Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.).Amazonas",NA
"685","Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.)","Bahia",NA,"Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.).Bahia",NA
"686","Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.)","Blumenau e demais regioes",NA,"Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.).Blumenau e demais regioes",NA
"687","Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.)","Brasilia",NA,"Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.).Brasilia",NA
"688","Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.)","Ceara",NA,"Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.).Ceara",NA
"689","Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.)","Demais regioes",NA,"Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.).Demais regioes",NA
"690","Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.)","Espirito Santo",NA,"Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.).Espirito Santo",NA
"691","Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.)","F.Iguatu-Medianeira-Cascavel-Toledo",NA,"Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.).F.Iguatu-Medianeira-Cascavel-Toledo",NA
"692","Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.)","Goias",NA,"Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.).Goias",NA
"693","Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.)","Grande Campinas",NA,"Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.).Grande Campinas",NA
"694","Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.)","Interior",NA,"Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.).Interior",NA
"695","Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.)","Litoral Norte e Baixada Santista",NA,"Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.).Litoral Norte e Baixada Santista",NA
"696","Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.)","Maranhao",NA,"Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.).Maranhao",NA
"697","Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.)","Mato Grosso",NA,"Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.).Mato Grosso",NA
"698","Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.)","Mato Grosso do Sul",NA,"Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.).Mato Grosso do Sul",NA
"699","Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.)","Met. Curitiba",NA,"Honda - Civic Sedan Ex 1.6 16v Mec. 4p (nacion.).Met. Curitiba",NA
